TIMESTAMP,CLOSE,MEAN,SIGMA
2015-04-21,1003,962.11,21.98
2015-04-22,1013.1,962.42,21.61
2015-04-23,1013.5,962.81,20.95
2015-04-24,1006.45,963.12,20.38
2015-04-27,1005.45,963.3,19.89
2015-04-28,1004.55,963.44,19.32
2015-04-29,993.15,963.82,18.9
2015-04-30,988.8,964.12,18.56
2015-05-04,1000.95,964.38,18.34
2015-05-05,987.65,964.98,18.23
2015-05-06,970.6,965.58,18.33
2015-05-07,951.3,965.95,18.29
2015-05-08,982,966.29,18.31
2015-05-11,990.3,966.71,18.26
2015-05-12,971.95,967.29,18.32
2015-05-13,990.25,967.39,18.33
2015-05-14,991.05,967.75,18.33
2015-05-15,990.1,968.2,18.32
2015-05-18,1009.85,968.69,18.34
2015-05-19,1007.55,969.32,18.35
2015-05-20,1024.05,969.94,18.39
2015-05-21,1024.7,970.62,18.34
2015-05-22,1024.3,971.3,18.28
2015-05-25,1023.55,971.91,18.27
2015-05-26,1027.4,972.38,18.14
2015-05-27,1038.15,973.09,18.15
2015-05-28,1029.4,973.83,18.29
2015-05-29,1050.55,974.36,18.36
2015-06-01,1036.2,975.07,18.41
2015-06-02,1008.8,975.72,18.39
2015-06-03,1005.55,976.0,18.39
2015-06-04,1014.95,976.09,18.56
2015-06-05,1011.75,975.9,18.91
2015-06-08,1003.45,975.64,19.25
2015-06-09,1001.85,975.19,19.67
2015-06-10,1015.6,974.5,20.13
2015-06-11,1000.2,973.97,20.42
2015-06-12,1009.15,973.06,21.0
2015-06-15,1005.2,972.08,21.74
2015-06-16,1008.4,971.06,22.14
2015-06-17,1004.7,970.09,22.53
2015-06-18,1019.6,969.16,22.49
2015-06-19,1030.5,968.59,22.44
2015-06-22,1047.15,968.13,22.33
2015-06-23,1052.1,967.99,22.29
2015-06-24,1045.8,967.96,22.17
2015-06-25,1065,967.88,21.88
2015-06-26,1062.85,967.95,21.94
2015-06-29,1056.65,968.16,21.97
2015-06-30,1067.15,968.18,21.98
2015-07-01,1072.35,968.21,22.06
2015-07-02,1058.2,968.31,21.89
2015-07-03,1074.25,968.27,21.88
2015-07-06,1083.5,968.3,21.9
2015-07-07,1086.85,968.33,21.94
2015-07-08,1068.85,968.29,22.01
2015-07-09,1074.05,968.0,22.24
2015-07-10,1090.75,967.73,22.66
2015-07-13,1096.15,967.53,23.3
2015-07-14,1091.85,967.54,23.58
2015-07-15,1096.7,967.65,23.79
2015-07-16,1114.7,967.7,23.82
2015-07-17,1110.55,967.86,23.89
2015-07-20,1115.25,967.95,23.92
2015-07-21,1098.05,967.96,23.97
2015-07-22,1114.4,967.89,23.94
2015-07-23,1107.9,968.05,23.95
2015-07-24,1107.85,968.37,23.97
2015-07-27,1095.85,968.58,24.11
2015-07-28,1108.5,968.43,24.67
2015-07-29,1108.35,968.1,25.56
2015-07-30,1110.55,968.05,26.2
2015-07-31,1111.65,968.14,26.66
2015-08-03,1095.4,968.36,26.73
2015-08-04,1086.45,968.66,26.73
2015-08-05,1092.2,968.98,26.72
2015-08-06,1095.95,969.51,26.72
2015-08-07,1092.65,970.13,26.74
2015-08-10,1094.65,970.69,26.73
2015-08-11,1094.7,971.17,26.71
2015-08-12,1070.45,971.79,26.75
2015-08-13,1077.55,972.12,26.83
2015-08-14,1101.8,972.23,26.94
2015-08-17,1091.5,972.74,26.88
2015-08-18,1086.35,973.0,26.77
2015-08-19,1081.85,973.1,26.46
2015-08-20,1074.7,973.27,26.15
2015-08-21,1061.3,973.04,25.74
2015-08-24,1019.05,972.53,25.5
2015-08-25,1018.45,970.89,26.15
2015-08-26,1013.5,969.35,25.88
2015-08-27,1022.1,967.79,25.94
2015-08-28,1027.95,966.66,25.51
2015-08-31,1027.45,965.83,25.03
2015-09-01,1000.1,965.24,24.84
2015-09-02,995.15,964.42,24.85
2015-09-03,1010.3,963.42,24.91
2015-09-04,996.05,962.7,24.91
2015-09-07,984.45,961.88,25.16
2015-09-08,1004.05,961.12,25.46
2015-09-09,1016.3,960.49,25.56
2015-09-10,1011,960.2,25.47
2015-09-11,1010.5,959.98,25.41
2015-09-14,1019.7,959.53,25.12
2015-09-15,1013.15,959.24,24.56
2015-09-16,1023.35,959.32,24.35
2015-09-18,1049.75,959.6,23.91
2015-09-21,1052.95,959.78,23.65
2015-09-22,1030.65,959.73,23.08
2015-09-23,1049.2,959.83,22.78
2015-09-24,1051.4,959.81,22.56
2015-09-28,1046.4,959.86,22.33
2015-09-29,1064.8,959.78,21.93
2015-09-30,1068.8,959.59,21.61
2015-10-01,1067.65,959.55,21.11
2015-10-05,1098.35,959.43,20.69
2015-10-06,1085.95,959.52,20.35
2015-10-07,1087.75,959.59,19.65
2015-10-08,1083.1,959.87,19.29
2015-10-09,1086.15,960.17,19.08
2015-10-12,1080.55,960.56,19.01
2015-10-13,1076.35,960.94,18.88
2015-10-14,1084.75,961.08,18.76
2015-10-15,1084.15,961.21,18.32
2015-10-16,1100.05,961.83,18.13
2015-10-19,1097.8,962.72,18.08
2015-10-20,1094.9,963.67,18.1
2015-10-21,1095,964.64,18.13
2015-10-23,1108.5,965.76,18.17
2015-10-26,1101.5,966.97,18.16
2015-10-27,1110.9,967.96,18.18
2015-10-28,1111.5,969.26,18.11
2015-10-29,1103.55,970.5,18.0
2015-10-30,1099.6,971.64,17.97
2015-11-02,1083.1,972.7,17.96
2015-11-03,1084.9,973.68,18.05
2015-11-04,1081.7,974.5,18.15
2015-11-05,1079.85,975.22,18.29
2015-11-06,1080.9,975.63,18.35
2015-11-09,1064.8,975.99,18.41
2015-11-10,1054.6,976.38,18.71
2015-11-11,1054.4,976.65,19.23
2015-11-13,1052.05,976.98,19.81
2015-11-16,1060.95,977.43,20.4
2015-11-17,1060.8,977.81,20.84
2015-11-18,1048.6,978.02,21.27
2015-11-19,1068.9,978.21,21.81
2015-11-20,1070.85,978.36,22.07
2015-11-23,1066.05,978.45,22.33
2015-11-24,1064.35,978.56,22.72
2015-11-26,1063.95,979.01,23.16
2015-11-27,1079.4,979.56,23.58
2015-11-30,1077.75,980.06,23.67
2015-12-01,1083,980.34,23.91
2015-12-02,1077.8,980.64,24.1
2015-12-03,1076.75,980.77,24.36
2015-12-04,1058.9,980.68,24.61
2015-12-07,1061.95,980.55,25.11
2015-12-08,1049.25,980.44,25.55
2015-12-09,1047.45,980.48,26.21
2015-12-10,1060.6,980.23,26.8
2015-12-11,1046.35,980.12,27.18
2015-12-14,1055.05,980.14,27.78
2015-12-15,1059.45,980.57,28.04
2015-12-16,1067.3,981.08,27.95
2015-12-17,1080.25,981.52,27.91
2015-12-18,1073,981.88,27.86
2015-12-21,1075.4,981.95,28.08
2015-12-22,1066.45,982.03,28.31
2015-12-23,1074.1,982.17,28.66
2015-12-24,1074,982.21,28.9
2015-12-28,1077.25,982.21,29.15
2015-12-29,1077.95,982.29,29.39
2015-12-30,1074.3,982.47,29.67
2015-12-31,1082.15,982.8,29.98
2016-01-01,1088.75,983.43,30.2
2016-01-04,1070.5,984.05,30.31
2016-01-05,1062.4,984.24,30.68
2016-01-06,1067.1,984.53,31.17
2016-01-07,1056.2,984.84,31.57
2016-01-08,1062.35,985.05,32.08
2016-01-11,1058.6,985.58,32.49
2016-01-12,1046.95,986.27,32.92
2016-01-13,1060.15,988.07,32.61
2016-01-14,1049.75,989.7,32.44
2016-01-15,1042.15,991.48,32.21
2016-01-18,1025.85,992.89,32.56
2016-01-19,1035.8,994.15,33.31
2016-01-20,1018.3,995.47,33.75
2016-01-21,1023,997.1,34.41
2016-01-22,1030.3,998.8,34.8
2016-01-25,1041.15,1000.3,35.15
2016-01-27,1035.65,1002.07,35.06
2016-01-28,1031.7,1003.93,35.05
2016-01-29,1049.85,1005.53,35.16
2016-02-01,1059.75,1006.9,35.16
2016-02-02,1053.8,1008.29,35.05
2016-02-03,1043.85,1009.63,35.02
2016-02-04,1049.2,1010.8,35.14
2016-02-05,1055.25,1012.02,35.22
2016-02-08,1035.85,1013.13,35.25
2016-02-09,1026.05,1014.08,35.34
2016-02-10,1012.95,1015.0,35.5
2016-02-11,975.3,1016.1,35.87
2016-02-12,971.4,1017.06,36.77
2016-02-15,973.6,1017.94,37.69
2016-02-16,973.45,1018.91,38.51
2016-02-17,974.9,1019.74,38.92
2016-02-18,989.45,1020.41,39.41
2016-02-19,989.3,1021.08,39.61
2016-02-22,988.75,1021.52,39.54
2016-02-23,970.05,1021.91,39.75
2016-02-24,949.6,1022.2,40.22
2016-02-25,942.65,1022.48,41.02
2016-02-26,961,1022.64,41.88
2016-02-29,971.85,1022.84,42.29
2016-03-01,984.15,1023.01,42.46
2016-03-02,1007.2,1023.27,42.39
2016-03-03,1015.85,1023.51,42.19
2016-03-04,1020.55,1023.72,41.75
2016-03-08,1014.15,1023.88,41.35
2016-03-09,1024.8,1024.05,41.02
2016-03-10,1021.25,1024.23,40.59
2016-03-11,1028.7,1024.35,39.99
2016-03-14,1027.55,1024.49,39.42
2016-03-15,1026.7,1024.65,38.62
2016-03-16,1030.45,1024.81,37.68
2016-03-17,1018.4,1025.01,36.81
2016-03-18,1028.4,1025.22,36.03
2016-03-21,1045.6,1025.47,35.53
2016-03-22,1053.85,1025.73,34.96
2016-03-23,1049.35,1025.99,34.45
2016-03-28,1047.5,1026.28,33.91
2016-03-29,1053.8,1026.52,33.36
2016-03-30,1064.95,1026.75,33.06
2016-03-31,1071.15,1027.09,32.87
2016-04-01,1064.45,1027.4,32.75
2016-04-04,1069.05,1027.71,32.61
2016-04-05,1057.45,1028.01,32.41
2016-04-06,1061.5,1028.22,32.2
2016-04-07,1055.5,1028.47,32.12
2016-04-08,1059.35,1028.64,31.84
2016-04-11,1070.95,1028.79,31.56
2016-04-12,1063,1028.99,31.41
2016-04-13,1081.75,1029.2,31.22
2016-04-18,1087.8,1029.44,31.16
2016-04-20,1097.85,1029.69,30.96
2016-04-21,1091.15,1029.93,30.92
2016-04-22,1092.15,1030.17,30.72
2016-04-25,1093.25,1030.4,30.62
2016-04-26,1113.85,1030.63,30.54
2016-04-27,1124.2,1030.94,30.92